MMSI,BaseDateTime,LAT,LON,SOG,COG,Heading,VesselName,IMO,CallSign,VesselType,Status,Length,Width,Draft,Cargo,TransceiverClass
538008468,2020-01-01T00:00:00,38.25802,-76.29487,14.9,338.6,337.0,,,,,0,,,,,A
368120510,2020-01-01T00:00:00,27.58610,-82.75991,0.0,58.6,511.0,,,,,0,,,,,A
368063930,2020-01-01T00:00:00,40.71045,-73.97588,11.2,208.9,207.0,,,,,0,,,,,A
368106220,2020-01-01T00:00:00,38.53932,-90.25523,0.2,161.8,31.0,,,,,15,,,,,A
367336180,2020-01-01T00:00:00,56.02945,-132.68705,9.0,325.5,511.0,,,,,15,,,,,A
368098220,2020-01-01T00:00:01,32.32594,-90.89619,0.0,287.9,511.0,,,,,0,,,,,A
338531000,2020-01-01T00:00:02,34.22099,-76.31654,6.8,48.8,44.0,GENESIS VIGILANT,IMO8973928,WDG9352,31,0,30,10,5.0,31,A
368027230,2020-01-01T00:00:01,47.94962,-122.30508,0.0,200.6,137.0,,,,,0,,,,,A
368020640,2020-01-01T00:00:02,40.63936,-80.47422,0.0,360.0,511.0,,,,,0,,,,,A
368123950,2020-01-01T00:00:03,39.92203,-91.41511,0.0,360.0,511.0,,,,,15,,,,,A
368111750,2020-01-01T00:00:00,29.37558,-94.88956,0.0,119.9,266.0,,,,,12,,,,,A
368088860,2020-01-01T00:00:00,41.64196,-87.58620,0.0,360.0,511.0,,,,,0,,,,,A
368051230,2020-01-01T00:00:00,40.72460,-73.97035,13.7,7.6,10.0,,,,,0,,,,,A
367535260,2020-01-01T00:00:03,42.61257,-70.65301,0.0,360.0,511.0,,,,,15,,,,,A
538007229,2020-01-01T00:00:02,49.01062,-123.16784,0.1,19.9,107.0,,,,,0,,,,,A
338332425,2020-01-01T00:00:03,48.40006,-122.49535,0.0,360.0,511.0,GRAND SLAM,IMO0000000,,37,,15,5,,,B
368098930,2020-01-01T00:00:04,40.64642,-74.02653,0.0,339.6,125.0,,,,,0,,,,,A
316037994,2020-01-01T00:00:04,49.30655,-123.07855,0.0,354.5,36.0,SEASPAN CAREEN,IMO0801801,A,90,0,112,49,5.6,90,A
563052700,2020-01-01T00:00:05,43.41973,-125.00295,12.1,355.5,355.0,,,,,0,,,,,A
368033840,2020-01-01T00:00:05,40.11193,-80.70483,3.2,343.9,511.0,,,,,15,,,,,A
